sentence,predicate,expert_worker_id,gold_property,gold_question,gold_answer,predicted_property,predicted_question,predicted_answer
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",subtypes,A2CK4EBWLXYOV1,,What/Who is a part/member of subtypes?,16 H and 9 N,,How much /How many subtypes?,16 H and 9 N known subtypes
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",subtypes,,,,,,Where is the subtypes?,commonly found in humans
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",subtypes,AZC7J87AH18DW,,How much /How many subtypes?,16,,,
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",subtypes,AZC7J87AH18DW,,What kind of subtypes?,H,,,
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",subtypes,AZC7J87AH18DW,,How much /How many subtypes?,9,,,
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",subtypes,AZC7J87AH18DW,,What kind of subtypes?,N,,,
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",subtypes,AZC7J87AH18DW,,What/Who is a part/member of subtypes?,"H 1 , 2 and 3 , and N 1 and 2",,,
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",humans,,,,,,What/Who is a part/member of humans?,16 H and 9 N subtypes
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",humans,A2CK4EBWLXYOV1,,What/Who is a part/member of humans?,"H 1 , 2 and 3 , and N 1 and 2",common,What is the [PROPERTY] of (the) humans?,"H 1 , 2 and 3 , and N 1 and 2"
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",relation,,,,,,Whose relation?,Hall
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",relation,,,,,,What kind of relation?,to complaints
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",relation,AZC7J87AH18DW,,What/Who is a part/member of relation?,complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age,,What/Who is a part/member of relation?,involving three females between eight and seventeen years of age
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",relation,AZC7J87AH18DW,,What/Who is a part/member of relation?,Hall was charged with three counts of indecent assault after being arrested Wednesday,,,
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",complaints,,,,,subject,What is the [PROPERTY] of (the) complaints?,alleged events
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",complaints,AZC7J87AH18DW,content,What is the [PROPERTY] of (the) complaints?,alleged events between 1974 and 1984 involving three females between eight and seventeen years of age,,,
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",complaints,AZC7J87AH18DW,object,What is the [PROPERTY] of (the) complaints?,Hall,,,
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",events,AZC7J87AH18DW,,When is the events?,between 1974 and 1984,,When is the events?,between 1974 and 1984
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",events,A2CK4EBWLXYOV1,,When is the events?,between 1974 and 1984,,When is the events?,between 1974 and 1984
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",events,,,,,result,What is the [PROPERTY] of (the) events?,Hall was charged with three counts of indecent assault
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",events,,,,,,What/Who is a part/member of events?,involving three females between eight and seventeen years of age
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",events,,,,,,What kind of events?,indecent assault
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",events,AZC7J87AH18DW,veracity,What is the [PROPERTY] of (the) events?,alleged,,,
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",females,,,,,,What is the females a part/member of?,alleged events between 1974 and 1984
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",females,AZC7J87AH18DW,,How much /How many females?,three,,How much /How many females?,three
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",females,A2CK4EBWLXYOV1,,How much /How many females?,three,,How much /How many females?,three
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",females,AZC7J87AH18DW,age,What is the [PROPERTY] of (the) females?,between eight and seventeen years of age,age,What is the [PROPERTY] of (the) females?,between eight and seventeen years of age
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",females,A2CK4EBWLXYOV1,age,What is the [PROPERTY] of (the) females?,between eight and seventeen,age,What is the [PROPERTY] of (the) females?,between eight and seventeen years of age
