sentence,predicate,predicted_property,predicted_question,predicted_answer
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",subtypes,,What kind of subtypes?,known subtypes
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",relation,,What is the relation a part/member of?,omplaints about alleged events between 1974 and 1984
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",relation,result,What is the [PROPERTY] of (the) relation?,three counts of indecent assault
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",relation,,What kind of relation?,relation to complaints about alleged events between 1974 and 1984
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",complaints,source,What is the [PROPERTY] of (the) complaints?,alleged events between 1974 and 1984
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",events,,What/Who is a part/member of events?,ree females between eight and seventeen years of age
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",events,nature,What is the [PROPERTY] of (the) events?,indecent assault
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",females,,What is the females a part/member of?,alleged events between 1974 and 1984
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",years,,Whose years?,three females
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",age,,When is the age?,between 1974 and 1984
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",counts,,Whose counts?,Hall
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",counts,,What is the counts a part/member of?,alleged events between 1974 and 1984
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",indecent,,How much /How many indecent?,three counts
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",indecent,,What/Who is (the) indecent?,Hall
Jenny cognitively assesses the snake in her presence .,snake,,Where is the snake?,n her presence
Jenny cognitively assesses the snake in her presence .,presence,,What/Who is a part/member of presence?,the snake
They do not prepare food and live only on what people offer them .,food,,What kind of food?,what people offer them
They do not prepare food and live only on what people offer them .,food,,Whose food?,them .
They do not prepare food and live only on what people offer them .,food,source,What is the [PROPERTY] of (the) food?,people
They do not prepare food and live only on what people offer them .,food,,What is the food a part/member of?,what people offer them
They do not prepare food and live only on what people offer them .,people,gesture,What is the [PROPERTY] of (the) people?,people offer them food
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",information,,When is the information?,soon
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",whereabouts,,What/Who is a part/member of whereabouts?,information
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",family,,What/Who is a part/member of family?,our family members
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",members,,Whose members?,one weeping woman
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",woman,,What kind of woman?,weeping woman
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",woman,response,What is the [PROPERTY] of (the) woman?,I hope I can get information soon on the whereabouts of our family members
"Australia had a loss to Canada 50 -- 57 , but bounced back to win against the Netherlands , 58 -- 49 .",loss,,What kind of loss?,a loss to Canada
The first Austrian film director to receive an Academy Award was Stefan Ruzowitzky .,film,,Whose film?,Stefan Ruzowitzky
The first Austrian film director to receive an Academy Award was Stefan Ruzowitzky .,film,director,What is the [PROPERTY] of (the) film?,Stefan Ruzowitzky
The first Austrian film director to receive an Academy Award was Stefan Ruzowitzky .,film,,What kind of film?,Austrian film
The first Austrian film director to receive an Academy Award was Stefan Ruzowitzky .,director,,What kind of director?,The first Austrian film director to receive an Academy Award
The first Austrian film director to receive an Academy Award was Stefan Ruzowitzky .,director,achievement,What is the [PROPERTY] of (the) director?,an Academy Award
