sentence,predicate,expert_worker_id,gold_property,gold_question,gold_answer,predicted_property,predicted_question,predicted_answer
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",subtypes,A2CK4EBWLXYOV1,,What/Who is a part/member of subtypes?,16 H and 9 N,,How much /How many subtypes?,16 H and 9 N
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",humans,A2CK4EBWLXYOV1,,What/Who is a part/member of humans?,"H 1 , 2 and 3 , and N 1 and 2",subtypes found,What is the [PROPERTY] of (the) humans?,"H 1 , 2 and 3 , and N 1 and 2"
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",years,A2CK4EBWLXYOV1,,What kind of years?,of age,,What is the years a part/member of?,age
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",years,AZC7J87AH18DW,,What kind of years?,of age,,What is the years a part/member of?,age
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",indecent,AZC7J87AH18DW,,What/Who is (the) indecent?,assault,,What is the indecent a part/member of?,assault
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",assault,A2CK4EBWLXYOV1,,Whose assault?,Hall,,What/Who is a part/member of assault?,Hall
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",assault,A2CK4EBWLXYOV1,,How much /How many assault?,three,,What/Who is a part/member of assault?,three females
Jenny cognitively assesses the snake in her presence .,presence,A2CK4EBWLXYOV1,,Whose presence?,Jenny,,Where is the presence?,Jenny
Jenny cognitively assesses the snake in her presence .,presence,AZC7J87AH18DW,,Whose presence?,Jenny,,Where is the presence?,Jenny
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",information,A2CK4EBWLXYOV1,content,What is the [PROPERTY] of (the) information?,on the whereabouts of our family members,,What kind of information?,whereabouts of our family members
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",information,AZC7J87AH18DW,content,What is the [PROPERTY] of (the) information?,the whereabouts of our family members,,What kind of information?,whereabouts of our family members
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",whereabouts,A2CK4EBWLXYOV1,,Whose whereabouts?,our family members,,What/Who is a part/member of whereabouts?,family members
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",whereabouts,AZC7J87AH18DW,,Whose whereabouts?,our family members,,What/Who is a part/member of whereabouts?,family members
