sentenceId,sentence,index,verbIndices,wordIndex,prep
Wiki1k:wikinews:1823406:3:4,Searches are presently suspended until morning .,0,3,,
Wiki1k:wikinews:1823406:3:4,Searches are presently suspended until morning .,5,3,,
Wiki1k:wikinews:782017:1:1,"When Garzón apologized for President Juan Manuel Santos not being there , the public exploded in whistles of disapproval .",13,2&9&14,,
Wiki1k:wikinews:782017:1:1,"When Garzón apologized for President Juan Manuel Santos not being there , the public exploded in whistles of disapproval .",16,2&9&14,,
Wiki1k:wikinews:782017:1:1,"When Garzón apologized for President Juan Manuel Santos not being there , the public exploded in whistles of disapproval .",18,2&9&14,,
Wiki1k:wikinews:593259:3:2,Ford was passed command of the ISS after in a change of command ceremony on Saturday .,3,2,,
Wiki1k:wikinews:593259:3:2,Ford was passed command of the ISS after in a change of command ceremony on Saturday .,10,2,,
Wiki1k:wikinews:593259:3:2,Ford was passed command of the ISS after in a change of command ceremony on Saturday .,12,2,,
Wiki1k:wikinews:593259:3:2,Ford was passed command of the ISS after in a change of command ceremony on Saturday .,13,2,,
Wiki1k:wikinews:721315:3:1,"Members of the right wing UMP have responded to the change with outrage , with UMP politician Hervé Mariton calling for a boycott .",0,7&19,,
Wiki1k:wikinews:721315:3:1,"Members of the right wing UMP have responded to the change with outrage , with UMP politician Hervé Mariton calling for a boycott .",4,7&19,,
Wiki1k:wikinews:721315:3:1,"Members of the right wing UMP have responded to the change with outrage , with UMP politician Hervé Mariton calling for a boycott .",10,7&19,,
Wiki1k:wikinews:721315:3:1,"Members of the right wing UMP have responded to the change with outrage , with UMP politician Hervé Mariton calling for a boycott .",12,7&19,,
Wiki1k:wikinews:721315:3:1,"Members of the right wing UMP have responded to the change with outrage , with UMP politician Hervé Mariton calling for a boycott .",16,7&19,,
Wiki1k:wikinews:721315:3:1,"Members of the right wing UMP have responded to the change with outrage , with UMP politician Hervé Mariton calling for a boycott .",22,7&19,,
Wiki1k:wikipedia:752:52:7,"The Last Judgment by Michelangelo was controversial for various reasons , including breaches of decorum through nudity and the Apollo-like pose of Christ .",9,11,,
Wiki1k:wikipedia:752:52:7,"The Last Judgment by Michelangelo was controversial for various reasons , including breaches of decorum through nudity and the Apollo-like pose of Christ .",12,11,,
Wiki1k:wikipedia:752:52:7,"The Last Judgment by Michelangelo was controversial for various reasons , including breaches of decorum through nudity and the Apollo-like pose of Christ .",14,11,,
Wiki1k:wikipedia:752:52:7,"The Last Judgment by Michelangelo was controversial for various reasons , including breaches of decorum through nudity and the Apollo-like pose of Christ .",16,11,,
Wiki1k:wikipedia:752:52:7,"The Last Judgment by Michelangelo was controversial for various reasons , including breaches of decorum through nudity and the Apollo-like pose of Christ .",20,11,,
Wiki1k:wikipedia:7960202:49:0,"Speaking in Jerusalem on 26 August 2008 , then United States Secretary of State Condoleezza Rice criticized Israel 's increased settlement construction in the West Bank as detrimental to the peace process .",20,0&16&19,,
Wiki1k:wikipedia:7960202:49:0,"Speaking in Jerusalem on 26 August 2008 , then United States Secretary of State Condoleezza Rice criticized Israel 's increased settlement construction in the West Bank as detrimental to the peace process .",21,0&16&19,,
Wiki1k:wikipedia:7960202:49:0,"Speaking in Jerusalem on 26 August 2008 , then United States Secretary of State Condoleezza Rice criticized Israel 's increased settlement construction in the West Bank as detrimental to the peace process .",30,0&16&19,,
Wiki1k:wikipedia:7960202:49:0,"Speaking in Jerusalem on 26 August 2008 , then United States Secretary of State Condoleezza Rice criticized Israel 's increased settlement construction in the West Bank as detrimental to the peace process .",31,0&16&19,,
Wiki1k:wikipedia:19038039:60:1,"In 1450 the Count of Clermont and Arthur de Richemont , Earl of Richmond , of the Montfort family ( the future Arthur III , Duke of Brittany ) , caught an English army attempting to relieve Caen and defeated it at the Battle of Formigny .",18,30&34&36&39,,
Wiki1k:wikipedia:19038039:60:1,"In 1450 the Count of Clermont and Arthur de Richemont , Earl of Richmond , of the Montfort family ( the future Arthur III , Duke of Brittany ) , caught an English army attempting to relieve Caen and defeated it at the Battle of Formigny .",21,30&34&36&39,,
Wiki1k:wikipedia:19038039:60:1,"In 1450 the Count of Clermont and Arthur de Richemont , Earl of Richmond , of the Montfort family ( the future Arthur III , Duke of Brittany ) , caught an English army attempting to relieve Caen and defeated it at the Battle of Formigny .",33,30&34&36&39,,
