sentence,predicate,expert_worker_id,gold_property,gold_question,gold_answer,predicted_property,predicted_question,predicted_answer
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",subtypes,A2CK4EBWLXYOV1,,What/Who is a part/member of subtypes?,16 H and 9 N,,How much /How many subtypes?,16 H and 9 N
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",events,AZC7J87AH18DW,veracity,What is the [PROPERTY] of (the) events?,alleged,,What kind of events?,alleged
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",age,A2CK4EBWLXYOV1,,What/Who is (the) age?,between eight and seventeen,range,What is the [PROPERTY] of (the) age?,between eight and seventeen years
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",assault,A2CK4EBWLXYOV1,,How much /How many assault?,three,victim,What is the [PROPERTY] of (the) assault?,three females
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",information,A2CK4EBWLXYOV1,content,What is the [PROPERTY] of (the) information?,on the whereabouts of our family members,,What/Who is (the) information?,the whereabouts of our family members
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",information,AZC7J87AH18DW,content,What is the [PROPERTY] of (the) information?,the whereabouts of our family members,,What/Who is (the) information?,the whereabouts of our family members
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",family,A2CK4EBWLXYOV1,,Whose family?,woman,,What/Who is a part/member of family?,woman
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",members,A2CK4EBWLXYOV1,,Whose members?,woman,,What/Who is a part/member of members?,woman
"Australia had a loss to Canada 50 -- 57 , but bounced back to win against the Netherlands , 58 -- 49 .",loss,A2CK4EBWLXYOV1,,What/Who is (the) loss?,50 -- 57,spread,What is the [PROPERTY] of (the) loss?,50 -- 57
"Australia had a loss to Canada 50 -- 57 , but bounced back to win against the Netherlands , 58 -- 49 .",loss,AZC7J87AH18DW,,How much /How many loss?,50 -- 57,spread,What is the [PROPERTY] of (the) loss?,50 -- 57
"Australia had a loss to Canada 50 -- 57 , but bounced back to win against the Netherlands , 58 -- 49 .",loss,AZC7J87AH18DW,counterpart,What is the [PROPERTY] of (the) loss?,Canada,,What/Who is (the) loss?,to Canada
The first Austrian film director to receive an Academy Award was Stefan Ruzowitzky .,director,AZC7J87AH18DW,nationality,What is the [PROPERTY] of (the) director?,Austrian,,What kind of director?,Austrian
The first Austrian film director to receive an Academy Award was Stefan Ruzowitzky .,director,A2CK4EBWLXYOV1,ancetry,What is the [PROPERTY] of (the) director?,Austrian,,What kind of director?,Austrian
