sentence,predicate,expert_worker_id,gold_property,gold_question,gold_answer,predicted_property,predicted_question,predicted_answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",events,AZC7J87AH18DW,veracity,What is the [PROPERTY] of (the) events?,alleged,,What kind of events?,alleged
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",events,AZC7J87AH18DW,,When is the events?,between 1974 and 1984,,When is the events?,between 1974 and 1984
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",events,A2CK4EBWLXYOV1,,When is the events?,between 1974 and 1984,,When is the events?,between 1974 and 1984
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",females,AZC7J87AH18DW,,How much /How many females?,three,,How much /How many females?,three
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",females,A2CK4EBWLXYOV1,,How much /How many females?,three,,How much /How many females?,three
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",females,AZC7J87AH18DW,age,What is the [PROPERTY] of (the) females?,between eight and seventeen years of age,age,What is the [PROPERTY] of (the) females?,between eight and seventeen
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",females,A2CK4EBWLXYOV1,age,What is the [PROPERTY] of (the) females?,between eight and seventeen,age,What is the [PROPERTY] of (the) females?,between eight and seventeen
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",assault,AZC7J87AH18DW,,What kind of assault?,indecent,,What kind of assault?,indecent
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",assault,A2CK4EBWLXYOV1,,What kind of assault?,indecent,,What kind of assault?,indecent
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",assault,AZC7J87AH18DW,,When is the assault?,between 1974 and 1984,,When is the assault?,between 1974 and 1984
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",assault,AZC7J87AH18DW,victim,What is the [PROPERTY] of (the) assault?,three females between eight and seventeen years of age,,Whose assault?,three females between eight and seventeen years of age
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",assault,AZC7J87AH18DW,,How much /How many assault?,three counts,,,
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",assault,A2CK4EBWLXYOV1,,How much /How many assault?,three,,,
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",assault,A2CK4EBWLXYOV1,,Whose assault?,Hall,,,
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",woman,,,,,,What kind of woman?,weeping
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",woman,A2CK4EBWLXYOV1,,Where is the woman?,Juanda,,Where is the woman?,at Juanda
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",woman,AZC7J87AH18DW,,Where is the woman?,at Juanda,,Where is the woman?,at Juanda
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",woman,AZC7J87AH18DW,,How much /How many woman?,one,,,
"Australia had a loss to Canada 50 -- 57 , but bounced back to win against the Netherlands , 58 -- 49 .",loss,A2CK4EBWLXYOV1,,Whose loss?,Australia,,Whose loss?,Australia
"Australia had a loss to Canada 50 -- 57 , but bounced back to win against the Netherlands , 58 -- 49 .",loss,AZC7J87AH18DW,,Whose loss?,Australia,,Whose loss?,Australia
"Australia had a loss to Canada 50 -- 57 , but bounced back to win against the Netherlands , 58 -- 49 .",loss,A2CK4EBWLXYOV1,,What/Who is (the) loss?,50 -- 57,,What kind of loss?,50 -- 57
"Australia had a loss to Canada 50 -- 57 , but bounced back to win against the Netherlands , 58 -- 49 .",loss,AZC7J87AH18DW,,How much /How many loss?,50 -- 57,,What kind of loss?,50 -- 57
"Australia had a loss to Canada 50 -- 57 , but bounced back to win against the Netherlands , 58 -- 49 .",loss,AZC7J87AH18DW,counterpart,What is the [PROPERTY] of (the) loss?,Canada,,,
