sentenceId,sentence,index,verbIndices,prep,wordIndex
Wiki1k:wikipedia:19572217:14:6,"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",7,8&26,,
Wiki1k:wikipedia:19572217:14:6,"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",28,8&26,,
Wiki1k:wikinews:614764:0:1,"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",1,11&24&33,,
Wiki1k:wikinews:614764:0:1,"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",3,11&24&33,,
Wiki1k:wikinews:614764:0:1,"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",6,11&24&33,,
Wiki1k:wikinews:614764:0:1,"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",13,11&24&33,,
Wiki1k:wikinews:614764:0:1,"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",18,11&24&33,,
Wiki1k:wikinews:614764:0:1,"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",20,11&24&33,,
Wiki1k:wikinews:614764:0:1,"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",27,11&24&33,,
Wiki1k:wikinews:614764:0:1,"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",29,11&24&33,,
Wiki1k:wikinews:614764:0:1,"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",30,11&24&33,,
Wiki1k:wikipedia:10406:28:0,Jenny cognitively assesses the snake in her presence .,4,2,,
Wiki1k:wikipedia:10406:28:0,Jenny cognitively assesses the snake in her presence .,7,2,,
Wiki1k:wikipedia:16016:33:6,They do not prepare food and live only on what people offer them .,4,3&6&11,,
Wiki1k:wikipedia:16016:33:6,They do not prepare food and live only on what people offer them .,10,3&6&11,,
Wiki1k:wikinews:1823406:7:0,"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",6,2&5&18&22,,
Wiki1k:wikinews:1823406:7:0,"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",10,2&5&18&22,,
Wiki1k:wikinews:1823406:7:0,"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",13,2&5&18&22,,
Wiki1k:wikinews:1823406:7:0,"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",14,2&5&18&22,,
Wiki1k:wikinews:1823406:7:0,"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",19,2&5&18&22,,
Wiki1k:wikinews:523166:1:2,"Australia had a loss to Canada 50 -- 57 , but bounced back to win against the Netherlands , 58 -- 49 .",3,1&11&14,,
Wiki1k:wikipedia:26964606:106:0,The first Austrian film director to receive an Academy Award was Stefan Ruzowitzky .,3,6,,
Wiki1k:wikipedia:26964606:106:0,The first Austrian film director to receive an Academy Award was Stefan Ruzowitzky .,4,6,,
