sentence,sentence_id,target_idx,instance_id,target,worker_id,general_comment,question_template_worker,question_worker,answer_worker,answer_range_worker,property_worker,comment_worker,expert_id,question_template_expert,question_expert,answer_expert,answer_range_expert,property_expert,comment_expert,mismatch_type,Feedback
"About 40,000 people attended the opening ceremony .",Wiki1k:wikinews:782017:0:2,6,Wiki1k:wikinews:782017:0:2_6,ceremony,A1198W1SPF1R4,,What is the [PROPERTY] of (the) [W]?,What is the attendance of (the) ceremony?,"About 40,000 people","(1, 4)",attendance,,,,,,,,,answer,
"About 40,000 people attended the opening ceremony .",Wiki1k:wikinews:782017:0:2,6,Wiki1k:wikinews:782017:0:2_6,ceremony,A1198W1SPF1R4,,What/Who is (the) [W]?,What is (the) ceremony?,opening,"(6, 7)",,,AZC7J87AH18DW,What kind of [W]?,What kind of ceremony?,opening ceremony,"(6, 8)",,,question,
"About 40,000 people attended the opening ceremony .",Wiki1k:wikinews:782017:0:2,2,Wiki1k:wikinews:782017:0:2_2,people,A1198W1SPF1R4,,What is the [PROPERTY] of (the) [W]?,What is the location of (the) people?,the opening ceremony,"(5, 8)",location,,,,,,,,,answer,
Complex compounds can have tens of reaction steps that sequentially build the desired molecule .,Wiki1k:wikipedia:22208:42:2,13,Wiki1k:wikipedia:22208:42:2_13,molecule,A1198W1SPF1R4,,What kind of [W]?,What kind of molecule?,desired,"(13, 14)",,,,,,,,,,answer,
Complex compounds can have tens of reaction steps that sequentially build the desired molecule .,Wiki1k:wikipedia:22208:42:2,6,Wiki1k:wikipedia:22208:42:2_6,reaction,A1198W1SPF1R4,,Whose [W]?,Whose reaction?,steps,"(8, 9)",,,,,,,,,,answer,"""reaction steps"" does not have a meaning of possession, ""steps"" do not belong to ""reaction"". We think that ""reaction"" is an argument of ""steps"" here (when ""steps"" is the target noun), but not in the other direction (see Slide 21 about relation direction)"
"He conducted research into the behavior of kites in the upper atmosphere , experimenting at a meteorological observation site near Glossop .",Wiki1k:wikipedia:17741:21:4,11,Wiki1k:wikipedia:17741:21:4_11,atmosphere,A1198W1SPF1R4,,What kind of [W]?,What kind of atmosphere?,upper,"(11, 12)",,,AZC7J87AH18DW,Where is the [W]?,Where is the atmosphere?,upper,"(11, 12)",,,question,
"He conducted research into the behavior of kites in the upper atmosphere , experimenting at a meteorological observation site near Glossop .",Wiki1k:wikipedia:17741:21:4,5,Wiki1k:wikipedia:17741:21:4_5,behavior,A1198W1SPF1R4,,,,,,,,AZC7J87AH18DW,Whose [W]?,Whose behavior?,kites,"(8, 9)",,,answer,
"He conducted research into the behavior of kites in the upper atmosphere , experimenting at a meteorological observation site near Glossop .",Wiki1k:wikipedia:17741:21:4,5,Wiki1k:wikipedia:17741:21:4_5,behavior,A1198W1SPF1R4,,Whose [W]?,Whose behavior?,kites in the upper atmosphere,"(8, 13)",,,AZC7J87AH18DW,Where is the [W]?,Where is the behavior?,in the upper atmosphere,"(9, 13)",,,question,
"He conducted research into the behavior of kites in the upper atmosphere , experimenting at a meteorological observation site near Glossop .",Wiki1k:wikipedia:17741:21:4,7,Wiki1k:wikipedia:17741:21:4_7,kites,A1198W1SPF1R4,,Where is the [W]?,Where is the kites?,the upper atmosphere,"(10, 13)",,,,,,,,,,answer,
"He conducted research into the behavior of kites in the upper atmosphere , experimenting at a meteorological observation site near Glossop .",Wiki1k:wikipedia:17741:21:4,7,Wiki1k:wikipedia:17741:21:4_7,kites,A1198W1SPF1R4,,What is the [W] a part/member of?,What is the kites a part of?,research,"(3, 4)",,,,,,,,,,answer,
