sentence,sentence_id,target_idx,instance_id,target,worker_id,general_comment,question_template_worker,question_worker,answer_worker,answer_range_worker,property_worker,comment_worker,expert_id,question_template_expert,question_expert,answer_expert,answer_range_expert,property_expert,comment_expert,mismatch_type
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,10,Wiki1k:wikinews:1823406:7:0_10,whereabouts,A1198W1SPF1R4,,What is the [PROPERTY] of (the) [W]?,What is the seeker of (the) whereabouts?,one weeping woman at Juanda,"(18, 23)",seeker,,,,,,,,,answer
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,13,Wiki1k:wikinews:1823406:7:0_13,family,A1198W1SPF1R4,,Where is the [W]?,Where is the family?,at Juanda,"(21, 23)",,,,,,,,,,answer
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,14,Wiki1k:wikinews:1823406:7:0_14,members,A1198W1SPF1R4,,What/Who is a part/member of [W]?,Who is a member of members?,one weeping woman at Juanda,"(18, 23)",,,,,,,,,,answer
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,19,Wiki1k:wikinews:1823406:7:0_19,woman,A1198W1SPF1R4,,What kind of [W]?,What kind of woman?,weeping,"(19, 20)",,,,,,,,,,answer
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,19,Wiki1k:wikinews:1823406:7:0_19,woman,A1198W1SPF1R4,,What is the [W] a part/member of?,What is the woman a member of?,our family,"(13, 15)",,,,,,,,,,answer
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,19,Wiki1k:wikinews:1823406:7:0_19,woman,A1198W1SPF1R4,,What is the [PROPERTY] of (the) [W]?,What is the action of (the) woman?,told Antara,"(23, 25)",action,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,1,Wiki1k:wikinews:614764:0:1_1,relation,A1198W1SPF1R4,,What kind of [W]?,What kind of relation?,In,"(1, 2)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,13,Wiki1k:wikinews:614764:0:1_13,females,A1198W1SPF1R4,,What is the [PROPERTY] of (the) [W]?,What is the mistreatment of (the) females?,indecent assault,"(30, 32)",mistreatment,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,20,Wiki1k:wikinews:614764:0:1_20,age,A1198W1SPF1R4,,What/Who is a part/member of [W]?,What is a part of age?,years,"(19, 20)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,20,Wiki1k:wikinews:614764:0:1_20,age,A1198W1SPF1R4,,How much /How many [W]?,How much /How many age?,between eight and seventeen years,"(15, 20)",,,,,,,,,,answer
