sentence,predicate,expert_worker_id,gold_property,gold_question,gold_answer,predicted_property,predicted_question,predicted_answer
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",subtypes,A2CK4EBWLXYOV1,,What/Who is a part/member of subtypes?,16 H and 9 N,,How much /How many subtypes?,16 H and 9 N
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",subtypes,AZC7J87AH18DW,,How much /How many subtypes?,16,,,
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",subtypes,AZC7J87AH18DW,,What kind of subtypes?,H,,,
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",subtypes,AZC7J87AH18DW,,How much /How many subtypes?,9,,,
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",subtypes,AZC7J87AH18DW,,What kind of subtypes?,N,,,
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",subtypes,AZC7J87AH18DW,,What/Who is a part/member of subtypes?,"H 1 , 2 and 3 , and N 1 and 2",,,
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",humans,A2CK4EBWLXYOV1,,What/Who is a part/member of humans?,"H 1 , 2 and 3 , and N 1 and 2",subtypes found,What is the [PROPERTY] of (the) humans?,"H 1 , 2 and 3 , and N 1 and 2"
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",relation,,,,,outcome,What is the [PROPERTY] of (the) relation?,three counts of indecent assault
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",relation,AZC7J87AH18DW,,What/Who is a part/member of relation?,complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age,,,
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",relation,AZC7J87AH18DW,,What/Who is a part/member of relation?,Hall was charged with three counts of indecent assault after being arrested Wednesday,,,
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",complaints,,,,,nature,What is the [PROPERTY] of (the) complaints?,indecent assault
