sentence,predicate,predicted_property,predicted_question,predicted_answer
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",subtypes,,Where is the subtypes?,commonly found in humans
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",humans,,What/Who is a part/member of humans?,16 H and 9 N subtypes
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",relation,,Whose relation?,Hall
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",relation,,What kind of relation?,to complaints
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",complaints,subject,What is the [PROPERTY] of (the) complaints?,alleged events
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",events,result,What is the [PROPERTY] of (the) events?,Hall was charged with three counts of indecent assault
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",events,,What/Who is a part/member of events?,involving three females between eight and seventeen years of age
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",events,,What kind of events?,indecent assault
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",females,,What is the females a part/member of?,alleged events between 1974 and 1984
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",years,,Whose years?,three females
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",age,,When is the age?,between 1974 and 1984
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",counts,,Whose counts?,Hall
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",counts,cause,What is the [PROPERTY] of (the) counts?,alleged events between 1974 and 1984
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",indecent,,What/Who is (the) indecent?,Hall
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",indecent,,When is the indecent?,between 1974 and 1984
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",indecent,result,What is the [PROPERTY] of (the) indecent?,charged with three counts of indecent assault
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",indecent,,What/Who is a part/member of indecent?,involving three females between eight and seventeen years of age
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",assault,consequence,What is the [PROPERTY] of (the) assault?,arrested
Jenny cognitively assesses the snake in her presence .,snake,,Where is the snake?,in her presence
Jenny cognitively assesses the snake in her presence .,presence,,What/Who is a part/member of presence?,the snake
They do not prepare food and live only on what people offer them .,food,source,What is the [PROPERTY] of (the) food?,people
They do not prepare food and live only on what people offer them .,people,offering,What is the [PROPERTY] of (the) people?,food
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",information,,Whose information?,one weeping woman at Juanda
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",members,,What/Who is a part/member of members?,one weeping woman at Juanda
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",woman,action,What is the [PROPERTY] of (the) woman?,weeping
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",woman,,What is the woman a part/member of?,family
The first Austrian film director to receive an Academy Award was Stefan Ruzowitzky .,film,,Whose film?,Stefan Ruzowitzky
The first Austrian film director to receive an Academy Award was Stefan Ruzowitzky .,director,status,What is the [PROPERTY] of (the) director?,receive an Academy Award
