worker_id,recall,precision,f1,question_recall,question_precision,question_f1,num_hits,avg_qa_per_hit,num_empty_instances
A1198W1SPF1R4,0.757,0.484,0.590,0.459,0.274,0.343,23,2.696,0
A132MSWBBVTOES,0.769,0.909,0.833,0.538,0.636,0.583,5,2.200,0
A17TKHT8FEVH0R,0.657,0.574,0.613,0.457,0.296,0.360,21,2.571,0
A1FS8SBR4SDWYG,0.757,0.455,0.568,0.622,0.299,0.404,23,3.348,0
A1NGGAVIGC9O7V,0.432,0.372,0.400,0.297,0.256,0.275,23,1.870,0
A21LONLNBOB8Q,0.622,0.434,0.511,0.432,0.302,0.356,23,2.217,2
A2M9JNCHRKMCC4,0.541,0.351,0.426,0.297,0.193,0.234,23,2.478,0
A3GWRDHAURRNK6,0.784,0.427,0.553,0.486,0.240,0.321,23,3.261,0
AJQGWGESKQT4Y,0.622,0.418,0.500,0.486,0.327,0.391,23,2.391,0
AKQAI78JTXXC9,0.351,0.565,0.433,0.270,0.435,0.333,23,0.957,1
AVBRJBJONL47I,0.485,0.640,0.552,0.333,0.440,0.379,21,1.190,0
