sentence,sentence_id,target_idx,instance_id,target,worker_id,general_comment,question_template_worker,question_worker,answer_worker,answer_range_worker,property_worker,comment_worker,expert_id,question_template_expert,question_expert,answer_expert,answer_range_expert,property_expert,comment_expert,mismatch_type
The doctor stated he was told his physical safety was in jeopardy .,Wiki1k:wikinews:2067610:1:5,1,Wiki1k:wikinews:2067610:1:5_1,doctor,A1198W1SPF1R4,,What is the [PROPERTY] of (the) [W]?,What is the concern of (the) doctor?,his physical safety was in jeopardy,"(7, 13)",concern,,,,,,,,,answer
The doctor stated he was told his physical safety was in jeopardy .,Wiki1k:wikinews:2067610:1:5,11,Wiki1k:wikinews:2067610:1:5_11,jeopardy,A1198W1SPF1R4,,What/Who is a part/member of [W]?,What is a part of jeopardy?,his physical safety,"(7, 10)",,,,,,,,,,answer
They then took a rebound and finally scored .,Wiki1k:wikinews:523166:3:7,4,Wiki1k:wikinews:523166:3:7_4,rebound,A1198W1SPF1R4,,What/Who is a part/member of [W]?,Who is a member of rebound?,They,"(1, 2)",,,,,,,,,,answer
They then took a rebound and finally scored .,Wiki1k:wikinews:523166:3:7,4,Wiki1k:wikinews:523166:3:7_4,rebound,A1198W1SPF1R4,,What is the [PROPERTY] of (the) [W]?,What is the result of (the) rebound?,finally scored,"(7, 9)",result,,,,,,,,,answer
"About 40,000 people attended the opening ceremony .",Wiki1k:wikinews:782017:0:2,2,Wiki1k:wikinews:782017:0:2_2,people,A1198W1SPF1R4,,What is the [PROPERTY] of (the) [W]?,What is the location of (the) people?,the opening ceremony,"(5, 8)",location,,,,,,,,,answer
"About 40,000 people attended the opening ceremony .",Wiki1k:wikinews:782017:0:2,6,Wiki1k:wikinews:782017:0:2_6,ceremony,A1198W1SPF1R4,,What is the [PROPERTY] of (the) [W]?,What is the attendance of (the) ceremony?,"About 40,000 people","(1, 4)",attendance,,,,,,,,,answer
"He conducted research into the behavior of kites in the upper atmosphere , experimenting at a meteorological observation site near Glossop .",Wiki1k:wikipedia:17741:21:4,2,Wiki1k:wikipedia:17741:21:4_2,research,A1198W1SPF1R4,,Whose [W]?,Whose research?,He,"(1, 2)",,,,,,,,,,answer
"He conducted research into the behavior of kites in the upper atmosphere , experimenting at a meteorological observation site near Glossop .",Wiki1k:wikipedia:17741:21:4,2,Wiki1k:wikipedia:17741:21:4_2,research,A1198W1SPF1R4,,What/Who is a part/member of [W]?,What is a part of research?,kites,"(8, 9)",,,,,,,,,,answer
"He conducted research into the behavior of kites in the upper atmosphere , experimenting at a meteorological observation site near Glossop .",Wiki1k:wikipedia:17741:21:4,7,Wiki1k:wikipedia:17741:21:4_7,kites,A1198W1SPF1R4,,Where is the [W]?,Where is the kites?,the upper atmosphere,"(10, 13)",,,,,,,,,,answer
"He conducted research into the behavior of kites in the upper atmosphere , experimenting at a meteorological observation site near Glossop .",Wiki1k:wikipedia:17741:21:4,7,Wiki1k:wikipedia:17741:21:4_7,kites,A1198W1SPF1R4,,What is the [W] a part/member of?,What is the kites a part of?,research,"(3, 4)",,,,,,,,,,answer
